---
timestamp: 1763025948589
-0.006460 -0.235768 0.026597
-0.006434 -0.234249 0.026459
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005810 -0.197093 0.023293
-0.005796 -0.196030 0.023345
-0.005780 -0.195106 0.023219
-0.005765 -0.194108 0.023214
-0.005755 -0.192965 0.023440
-0.005732 -0.192292 0.022987
-0.005724 -0.191158 0.023237
-0.005710 -0.190213 0.023220
-0.005687 -0.189538 0.022791
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005562 -0.182828 0.021778
-0.005541 -0.182141 0.021413
-0.005537 -0.181070 0.021796
-0.005514 -0.180458 0.021298
-0.005494 -0.179766 0.020954
-0.005480 -0.178942 0.020887
-0.005469 -0.178055 0.020963
-0.005450 -0.177361 0.020640
-0.005425 -0.176767 0.020096
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025948669
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006700 -0.246427 0.029558
-0.006667 -0.245268 0.029005
-0.006634 -0.244149 0.028438
-0.006602 -0.242935 0.027951
-0.006571 -0.241764 0.027448
-0.006539 -0.240710 0.026873
-0.006512 -0.238997 0.026802
-0.006484 -0.237557 0.026554
-0.006459 -0.235856 0.026529
-0.006433 -0.234336 0.026390
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005805 -0.197290 0.023024
-0.005791 -0.196224 0.023075
-0.005773 -0.195337 0.022893
-0.005760 -0.194298 0.022940
-0.005750 -0.193152 0.023164
-0.005727 -0.192477 0.022710
-0.005718 -0.191341 0.022958
-0.005704 -0.190393 0.022940
-0.005682 -0.189716 0.022509
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005552 -0.183065 0.021337
-0.005531 -0.182374 0.020971
-0.005527 -0.181298 0.021351
-0.005504 -0.180682 0.020851
-0.005484 -0.179987 0.020506
-0.005468 -0.179202 0.020346
-0.005454 -0.178375 0.020285
-0.005434 -0.177675 0.019959
-0.005404 -0.177177 0.019184
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025948815
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006700 -0.246427 0.029558
-0.006667 -0.245268 0.029005
-0.006634 -0.244149 0.028438
-0.006602 -0.242935 0.027951
-0.006571 -0.241764 0.027448
-0.006539 -0.240710 0.026873
-0.006512 -0.238997 0.026802
-0.006484 -0.237557 0.026554
-0.006459 -0.235856 0.026529
-0.006433 -0.234336 0.026390
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005805 -0.197290 0.023024
-0.005791 -0.196224 0.023075
-0.005773 -0.195337 0.022893
-0.005760 -0.194298 0.022940
-0.005750 -0.193152 0.023164
-0.005727 -0.192477 0.022710
-0.005718 -0.191341 0.022958
-0.005704 -0.190393 0.022940
-0.005682 -0.189716 0.022509
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005562 -0.182828 0.021778
-0.005541 -0.182141 0.021413
-0.005537 -0.181070 0.021796
-0.005514 -0.180458 0.021298
-0.005494 -0.179766 0.020954
-0.005480 -0.178942 0.020887
-0.005469 -0.178055 0.020963
-0.005450 -0.177361 0.020640
-0.005425 -0.176767 0.020096
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025948817
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006698 -0.246634 0.029419
-0.006666 -0.245433 0.028892
-0.006633 -0.244286 0.028343
-0.006602 -0.243052 0.027868
-0.006570 -0.241865 0.027375
-0.006538 -0.240799 0.026808
-0.006511 -0.239086 0.026736
-0.006484 -0.237645 0.026486
-0.006458 -0.235943 0.026460
-0.006433 -0.234336 0.026390
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005805 -0.197290 0.023024
-0.005791 -0.196224 0.023075
-0.005773 -0.195337 0.022893
-0.005760 -0.194298 0.022940
-0.005750 -0.193152 0.023164
-0.005727 -0.192477 0.022710
-0.005718 -0.191341 0.022958
-0.005704 -0.190393 0.022940
-0.005682 -0.189716 0.022509
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005562 -0.182828 0.021778
-0.005541 -0.182141 0.021413
-0.005537 -0.181070 0.021796
-0.005514 -0.180458 0.021298
-0.005494 -0.179766 0.020954
-0.005480 -0.178942 0.020887
-0.005469 -0.178055 0.020963
-0.005450 -0.177361 0.020640
-0.005425 -0.176767 0.020096
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025948829
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006700 -0.246427 0.029558
-0.006667 -0.245268 0.029005
-0.006634 -0.244149 0.028438
-0.006602 -0.242935 0.027951
-0.006571 -0.241764 0.027448
-0.006539 -0.240710 0.026873
-0.006512 -0.238997 0.026802
-0.006484 -0.237557 0.026554
-0.006459 -0.235856 0.026529
-0.006433 -0.234336 0.026390
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005810 -0.197093 0.023293
-0.005796 -0.196030 0.023345
-0.005780 -0.195106 0.023219
-0.005765 -0.194108 0.023214
-0.005755 -0.192965 0.023440
-0.005732 -0.192292 0.022987
-0.005724 -0.191158 0.023237
-0.005710 -0.190213 0.023220
-0.005687 -0.189538 0.022791
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005562 -0.182828 0.021778
-0.005541 -0.182141 0.021413
-0.005537 -0.181070 0.021796
-0.005514 -0.180458 0.021298
-0.005494 -0.179766 0.020954
-0.005480 -0.178942 0.020887
-0.005469 -0.178055 0.020963
-0.005450 -0.177361 0.020640
-0.005425 -0.176767 0.020096
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025948869
-0.006798 -0.250567 0.030880
-0.006765 -0.249117 0.030466
-0.006731 -0.247946 0.029888
-0.006697 -0.246842 0.029280
-0.006665 -0.245599 0.028779
-0.006632 -0.244423 0.028247
-0.006601 -0.243168 0.027786
-0.006569 -0.241967 0.027302
-0.006537 -0.240889 0.026742
-0.006511 -0.239175 0.026669
-0.006484 -0.237645 0.026486
-0.006458 -0.235943 0.026460
-0.006433 -0.234336 0.026390
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005805 -0.197290 0.023024
-0.005791 -0.196224 0.023075
-0.005773 -0.195337 0.022893
-0.005760 -0.194298 0.022940
-0.005750 -0.193152 0.023164
-0.005727 -0.192477 0.022710
-0.005718 -0.191341 0.022958
-0.005704 -0.190393 0.022940
-0.005682 -0.189716 0.022509
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005552 -0.183065 0.021337
-0.005531 -0.182374 0.020971
-0.005527 -0.181298 0.021351
-0.005504 -0.180682 0.020851
-0.005484 -0.179987 0.020506
-0.005468 -0.179202 0.020346
-0.005454 -0.178375 0.020285
-0.005434 -0.177675 0.019959
-0.005404 -0.177177 0.019184
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025949005
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006698 -0.246634 0.029419
-0.006666 -0.245433 0.028892
-0.006633 -0.244286 0.028343
-0.006602 -0.243052 0.027868
-0.006570 -0.241865 0.027375
-0.006538 -0.240799 0.026808
-0.006511 -0.239086 0.026736
-0.006484 -0.237645 0.026486
-0.006458 -0.235943 0.026460
-0.006433 -0.234336 0.026390
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005805 -0.197290 0.023024
-0.005791 -0.196224 0.023075
-0.005773 -0.195337 0.022893
-0.005760 -0.194298 0.022940
-0.005750 -0.193152 0.023164
-0.005727 -0.192477 0.022710
-0.005718 -0.191341 0.022958
-0.005704 -0.190393 0.022940
-0.005682 -0.189716 0.022509
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005552 -0.183065 0.021337
-0.005531 -0.182374 0.020971
-0.005527 -0.181298 0.021351
-0.005504 -0.180682 0.020851
-0.005484 -0.179987 0.020506
-0.005468 -0.179202 0.020346
-0.005454 -0.178375 0.020285
-0.005434 -0.177675 0.019959
-0.005404 -0.177177 0.019184
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025949007
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006700 -0.246427 0.029558
-0.006668 -0.245103 0.029117
-0.006635 -0.244012 0.028533
-0.006603 -0.242818 0.028033
-0.006571 -0.241662 0.027521
-0.006539 -0.240620 0.026939
-0.006513 -0.238908 0.026869
-0.006485 -0.237468 0.026621
-0.006460 -0.235768 0.026597
-0.006434 -0.234249 0.026459
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005805 -0.197290 0.023024
-0.005791 -0.196224 0.023075
-0.005773 -0.195337 0.022893
-0.005760 -0.194298 0.022940
-0.005750 -0.193152 0.023164
-0.005727 -0.192477 0.022710
-0.005718 -0.191341 0.022958
-0.005704 -0.190393 0.022940
-0.005682 -0.189716 0.022509
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005562 -0.182828 0.021778
-0.005541 -0.182141 0.021413
-0.005537 -0.181070 0.021796
-0.005514 -0.180458 0.021298
-0.005494 -0.179766 0.020954
-0.005480 -0.178942 0.020887
-0.005469 -0.178055 0.020963
-0.005450 -0.177361 0.020640
-0.005425 -0.176767 0.020096
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025949029
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006700 -0.246427 0.029558
-0.006668 -0.245103 0.029117
-0.006635 -0.244012 0.028533
-0.006603 -0.242818 0.028033
-0.006571 -0.241662 0.027521
-0.006539 -0.240620 0.026939
-0.006513 -0.238908 0.026869
-0.006485 -0.237468 0.026621
-0.006460 -0.235768 0.026597
-0.006434 -0.234249 0.026459
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005805 -0.197290 0.023024
-0.005791 -0.196224 0.023075
-0.005773 -0.195337 0.022893
-0.005760 -0.194298 0.022940
-0.005750 -0.193152 0.023164
-0.005727 -0.192477 0.022710
-0.005718 -0.191341 0.022958
-0.005704 -0.190393 0.022940
-0.005682 -0.189716 0.022509
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005562 -0.182828 0.021778
-0.005541 -0.182141 0.021413
-0.005537 -0.181070 0.021796
-0.005514 -0.180458 0.021298
-0.005494 -0.179766 0.020954
-0.005480 -0.178942 0.020887
-0.005469 -0.178055 0.020963
-0.005450 -0.177361 0.020640
-0.005425 -0.176767 0.020096
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025949080
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006700 -0.246427 0.029558
-0.006667 -0.245268 0.029005
-0.006634 -0.244149 0.028438
-0.006602 -0.242935 0.027951
-0.006571 -0.241764 0.027448
-0.006539 -0.240710 0.026873
-0.006512 -0.238997 0.026802
-0.006484 -0.237557 0.026554
-0.006459 -0.235856 0.026529
-0.006433 -0.234336 0.026390
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
-0.006015 -0.209876 0.024052
-0.006003 -0.208376 0.024385
-0.005989 -0.207085 0.024512
-0.005973 -0.205899 0.024542
-0.005954 -0.204848 0.024435
-0.005945 -0.203417 0.024801
-0.005929 -0.202312 0.024799
-0.005908 -0.201463 0.024499
-0.005883 -0.200799 0.023971
-0.005861 -0.200008 0.023608
-0.005849 -0.198833 0.023757
-0.005827 -0.198062 0.023387
-0.005810 -0.197093 0.023293
-0.005796 -0.196030 0.023345
-0.005780 -0.195106 0.023219
-0.005765 -0.194108 0.023214
-0.005755 -0.192965 0.023440
-0.005732 -0.192292 0.022987
-0.005724 -0.191158 0.023237
-0.005710 -0.190213 0.023220
-0.005687 -0.189538 0.022791
-0.005668 -0.188772 0.022510
-0.005658 -0.187746 0.022664
-0.005636 -0.187066 0.022256
-0.005618 -0.186299 0.021999
-0.005599 -0.185531 0.021749
-0.005578 -0.184844 0.021361
-0.005570 -0.183832 0.021564
-0.005562 -0.182828 0.021778
-0.005541 -0.182141 0.021413
-0.005537 -0.181070 0.021796
-0.005514 -0.180458 0.021298
-0.005494 -0.179766 0.020954
-0.005480 -0.178942 0.020887
-0.005469 -0.178055 0.020963
-0.005450 -0.177361 0.020640
-0.005425 -0.176767 0.020096
-0.005396 -0.176266 0.019327
-0.005376 -0.175558 0.019020
-0.005325 -0.175426 0.017335
---
timestamp: 1763025949149
-0.006798 -0.250567 0.030880
-0.006767 -0.248696 0.030736
-0.006732 -0.247667 0.030071
-0.006698 -0.246634 0.029419
-0.006666 -0.245433 0.028892
-0.006633 -0.244286 0.028343
-0.006602 -0.243052 0.027868
-0.006570 -0.241865 0.027375
-0.006538 -0.240799 0.026808
-0.006511 -0.239086 0.026736
-0.006484 -0.237645 0.026486
-0.006458 -0.235943 0.026460
-0.006433 -0.234336 0.026390
-0.006408 -0.232821 0.026272
-0.006380 -0.231709 0.025849
-0.006355 -0.230288 0.025698
-0.006327 -0.229265 0.025231
-0.006307 -0.227525 0.025395
-0.006288 -0.225795 0.025583
-0.006264 -0.224553 0.025367
-0.006243 -0.223033 0.025424
-0.006220 -0.221838 0.025206
-0.006204 -0.220160 0.025461
-0.006183 -0.218878 0.025371
-0.006163 -0.217553 0.025344
-0.006140 -0.216494 0.025075
-0.006118 -0.215389 0.024867
-0.006100 -0.214030 0.024935
-0.006080 -0.212886 0.024804
-0.006060 -0.211745 0.024688
-0.006033 -0.211082 0.024071
